Category,Variation
리프팅,덴서티
리프팅,민트 실리프팅
리프팅,바디 써마지
리프팅,바디 온다
리프팅,바디 울쎄라
리프팅,바디 인모드
리프팅,브이올렛(이중턱)
리프팅,슈링크 유니버스
리프팅,써마지 FLX
리프팅,아이써마지
리프팅,아이올리지오
리프팅,온다
리프팅,울쎄라
리프팅,인모드
리프팅,잼버실(팔자, 눈밑, 앞광대, 마리오네트, 인디언밴드)
리프팅,코 실리프팅
보톡스,다한증
보톡스,리프팅 보톡스(목)
보톡스,리프팅 보톡스(얼굴)
보톡스,리프팅 보톡스(턱라인)
보톡스,사각턱
보톡스,스킨 (나비존, 팔자, 턱라인, 목세로주름)
보톡스,스킨 (풀페이스)
보톡스,입술 필러 + 입꼬리 보톡스
보톡스,주름 3부위
보톡스,주름, 자갈턱
보톡스,침샘 (귀밑샘, 턱밑샘), 측두근
보톡스,특수부위(입꼬리, 콧볼)
필러/리프팅,3D 디자인 필러(광대ㆍ볼ㆍ턱ㆍ팔자ㆍ이마ㆍ관자)
필러/리프팅,눈 밑 필러
필러/리프팅,목주름 필러
필러/리프팅,서브시저널 인젝션 + 큐어젯(리쥬란 + 콜라움)
필러/리프팅,서브시저널 인젝션 + 큐어젯(콜라움)
필러/리프팅,서브시전 + 큐어젯(콜라움)
필러/리프팅,스컬트라
필러/리프팅,울트라콜
필러/리프팅,코,애교 필러
필러/리프팅,콜라움120
필러/리프팅,콜라움240
스킨부스터,ASCE+ 엑소좀
스킨부스터,두피 ASCE+ 엑소좀
스킨부스터,리쥬란 힐러
스킨부스터,마늘주사
스킨부스터,물광주사
스킨부스터,백옥주사
스킨부스터,비타민주사
스킨부스터,신데렐라주사
스킨부스터,아르기닌 주사
스킨부스터,연어주사
스킨부스터,염증주사/압출 (11개~20개)
스킨부스터,염증주사/압출 (1부위)
스킨부스터,염증주사/압출 (6개~10개)
스킨부스터,쥬베룩
스킨부스터,태반주사
미백/색소/홍조,1064 토닝 (헐리우드 토닝)
미백/색소/홍조,755 토닝 (알렉스 토닝)
미백/색소/홍조,제네시스 토닝
미백/색소/홍조,클라리티 바디토닝
여드름/흉터/모공,포텐자
여드름/흉터/모공,프락셀
스킨케어/필링,LDM
스킨케어/필링,두피 오투덤 산소테라피
스킨케어/필링,라라필
스킨케어/필링,레디어스
스킨케어/필링,리투오
스킨케어/필링,릴리이드M
스킨케어/필링,물톡스(베이직)
스킨케어/필링,물톡스(프리미엄)
스킨케어/필링,블랙필
스킨케어/필링,블랙헤드 관리
스킨케어/필링,셀르디엠
스킨케어/필링,실루엣 소프트
스킨케어/필링,아쿠아필
스킨케어/필링,에토좀 PTT
스킨케어/필링,엠페이스
스킨케어/필링,오투덤 산소테라피
스킨케어/필링,이온토 관리
스킨케어/필링,점제거
스킨케어/필링,칵테일
스킨케어/필링,크라이오 관리
스킨케어/필링,헐리우드 필 (얼굴)
스킨케어/필링,호박필
비만, 체형관리,노블쉐이프
비만, 체형관리,바디
비만, 체형관리,바디 + 점 제거
비만, 체형관리,바디올렛
비만, 체형관리,비만 약 처방
비만, 체형관리,위고비
비만, 체형관리,헐리우드필 바디
영양주사,VIP 수액
영양주사,벨로테로 리바이브
영양주사,수액 5회 패키지
영양주사,숙취 수액 (맥페란+글루타치온)
